created_at,text,screen_name,profile_image
Tue Feb 16 01:15:01 +0000 2021,@IwriteOK why do they need to do the T R U and then get the MP from the fucking word truMP when they can just use TRUMP this HAS to be a bit,classpectanon,https://pbs.twimg.com/profile_images/1227087633731477505/D1ZHDEoq_normal.jpg
Tue Feb 16 01:15:01 +0000 2021,He literally supports trump and denied covid lmfao https://t.co/xSbQhLF8QF,ol_Ben_Kenobi,https://pbs.twimg.com/profile_images/1342864727094005760/JgQ8zpNJ_normal.jpg
Tue Feb 16 01:15:01 +0000 2021,"@blizardfingers3 @IAmSophiaNelson @JeffFlake The GOP, lead by Mitch, treated Obama like a piece of crap. That opened the door for Trump to saunter in with his birther lie &amp; the racists came skipping out of the closet door. It's harder to treat Biden like they did Obama bc 1. He's white. 2. Many have known him a long time.",Marcia_Sinclair,https://pbs.twimg.com/profile_images/378800000390363120/0bd368cdcdafaa94b49f99f3f5260661_normal.jpeg
Tue Feb 16 01:15:01 +0000 2021,"@cdnelefan @WhiteG365 @PirrohasFans One thing he didn’t do when he took over as President is fire 11,000 Americans in 30 seconds like Mr. 10% “Big Guy”.  AKA Joe Biden bought and paid by China.",rickyllesor1,https://pbs.twimg.com/profile_images/1191204494236893186/w-_o3bkN_normal.jpg
Tue Feb 16 01:15:01 +0000 2021,"@conyakk @pididpop @SteveRickettsSP @Dave_Khan I see you’re in Edmonton which explains your ignorance of the difference between impeachment, which Trump was twice, and any sanctions based on that finding. The House has SOLE POWER to impeach. The US Senate declined to punish Trump by 57 /43 because GQP balked. That’s on them.",vickiejomorris,https://pbs.twimg.com/profile_images/1347198604113371139/GIEhhSMJ_normal.jpg
Tue Feb 16 01:15:01 +0000 2021,"In light of growing threats from the Chinese military, the #Biden administration nominee, Dr. Kathleen Hicks, used competing questions from senators on both sides of the political aisle to emphasize the need for robust American defense spending: https://t.co/0OjVgJsFdK",FDD,https://pbs.twimg.com/profile_images/796803089504333824/HmSHXDAB_normal.jpg
Tue Feb 16 01:15:00 +0000 2021,Pelosi wanted the riot to happen! She wanted President Trump to look bad so she could put on another fake impeachment! I also think @LeaderMcConnell helped her plan it! Someone prove me wrong! #losers https://t.co/FmFxSg8Mb7,scaddad17,https://pbs.twimg.com/profile_images/965811705610670080/39oApdwO_normal.jpg
Tue Feb 16 01:15:00 +0000 2021,@Flip_MO_Blue I hope Biden will bite back.,MarthaTilghman,https://pbs.twimg.com/profile_images/1291170443529990148/Gkjaz48t_normal.jpg
Tue Feb 16 01:15:00 +0000 2021,"Happy Presidents' Day to the greatest President Donald J Trump

 #PresidentsDay https://t.co/K51a8zxYR2",fbiksa20,https://pbs.twimg.com/profile_images/1330921406436159488/GUJQxgP1_normal.jpg
Tue Feb 16 01:15:00 +0000 2021,"Responding to former President Trump's acquittal, Biden said the substance of the charge is not in dispute. 

""This sad chapter in our history has reminded us that democracy is fragile,"" Biden said in a statement. ""That it must always be defended."" https://t.co/XJQXsCSFa7",GBHNews,https://pbs.twimg.com/profile_images/1300758481708953605/FyEf9lkl_normal.png
